bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
Sohag Gazi,3,3,104,66,0,1,0,0,0,0,75,9.454545454545453,0,0,0,0,0,0,0,25.333333333333332
JDS Neesham,6,6,124,72,0,0,4,0,0,0,150,10.333333333333334,0,0,0,-2,0,0,0,25.333333333333332
P Vastrakar,3,3,85,60,0,1,0,0,0,0,75,8.5,0,0,0,0,0,0,0,25.333333333333332
JA Richardson,7,7,259,156,0,2,0,0,0,0,175,9.961538461538462,0,0,0,0,0,0,0,25.285714285714285
KS Williamson,4,4,62,52,0,1,0,0,0,0,100,7.153846153846153,0,0,0,0,0,0,0,25.25
JL Gunn,4,4,131,90,0,1,0,0,0,0,100,8.733333333333333,0,0,0,0,0,0,0,25.25
C Karunaratne,4,4,145,90,1,0,0,0,0,0,100,9.666666666666668,0,0,0,0,0,0,0,25.25
LJ Wright,10,10,224,156,1,1,0,0,0,0,250,8.615384615384615,0,0,0,0,0,0,0,25.2
YK Pathan,5,5,169,96,1,2,0,0,0,0,125,10.5625,0,0,0,-2,0,0,0,25.2
NW Bracken,6,6,137,114,1,0,0,0,0,0,150,7.2105263157894735,0,0,0,0,0,0,0,25.166666666666668
LE Plunkett,7,7,185,129,0,1,0,0,0,0,175,8.604651162790699,0,0,0,0,0,0,0,25.142857142857142
MJ McClenaghan,7,7,227,156,0,1,0,0,0,0,175,8.73076923076923,0,0,0,0,0,0,0,25.142857142857142
AU Rashid,31,30,905,648,1,5,8,0,0,1,750,8.37962962962963,0,0,0,0,0,0,12,25.032258064516128
DL Maddy,1,1,20,12,0,0,0,0,0,0,25,10.0,0,0,0,0,0,0,0,25.0
SE Bond,2,2,66,48,0,0,0,0,0,0,50,8.25,0,0,0,0,0,0,0,25.0
R Telemachus,1,1,40,24,0,0,0,0,0,0,25,10.0,0,0,0,0,0,0,0,25.0
RM Hira,3,3,98,62,0,0,0,0,0,0,75,9.483870967741936,0,0,0,0,0,0,0,25.0
A Mohammed,2,2,66,42,0,0,0,0,0,0,50,9.428571428571429,0,0,0,0,0,0,0,25.0
A Reddy,1,1,36,24,0,0,0,0,0,0,25,9.0,0,0,0,0,0,0,0,25.0
M Pushpakumara,1,1,27,18,0,0,0,0,0,0,25,9.0,0,0,0,0,0,0,0,25.0
PVD Chameera,7,7,279,157,0,2,0,0,0,0,175,10.662420382165605,0,0,0,-2,0,0,0,25.0
