bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
YS Chahal,17,31,486,390,4,7,20,8,0,0,775,7.476923076923077,0,0,0,0,0,0,0,47.88235294117647
S Badree,8,14,153,180,0,1,8,8,0,1,350,5.1,0,4,0,0,0,0,12,47.875
Abul Hasan,2,4,73,36,0,1,0,0,0,0,100,12.166666666666666,0,0,0,0,0,-6,0,47.5
Waqas Maqsood,1,2,21,11,0,1,0,0,0,0,50,11.454545454545455,0,0,0,0,-4,0,0,47.0
Mohammad Amir,11,19,284,246,3,5,12,8,0,1,475,6.926829268292684,0,0,2,0,0,0,12,47.0
SM Curran,8,14,192,186,1,2,8,0,0,1,350,6.193548387096774,0,0,2,0,0,0,12,46.875
AA Patil,4,7,86,94,2,0,4,0,0,0,175,5.48936170212766,0,4,0,0,0,0,0,46.25
Rashid Khan,4,7,109,90,1,3,4,0,0,0,175,7.266666666666666,0,0,0,0,0,0,0,45.75
Saeed Ajmal,10,17,258,226,0,5,8,8,0,0,425,6.849557522123893,0,0,2,0,0,0,0,44.8
SFM Devine,7,12,176,144,2,3,4,0,0,0,300,7.333333333333334,0,0,0,0,0,0,0,44.142857142857146
Kuldeep Yadav,3,5,57,72,0,1,0,0,0,0,125,4.75,6,0,0,0,0,0,0,44.0
HR Walsh,4,7,117,96,1,0,0,0,0,0,175,7.3125,0,0,0,0,0,0,0,44.0
D Madushanka,3,5,84,66,0,3,4,0,0,0,125,7.636363636363637,0,0,0,0,0,0,0,44.0
N Pradeep,3,5,97,60,1,1,4,0,0,0,125,9.7,0,0,0,0,0,0,0,43.666666666666664
Mohammed Shami,3,5,116,72,0,1,4,0,0,0,125,9.666666666666668,0,0,0,0,0,0,0,43.333333333333336
Yasir Arafat,3,5,67,42,0,1,4,0,0,0,125,9.571428571428573,0,0,0,0,0,0,0,43.333333333333336
SC Selman,3,5,80,66,0,0,4,0,0,0,125,7.272727272727273,0,0,0,0,0,0,0,43.0
Syed Rasel,1,1,10,24,0,0,0,0,0,1,25,2.5,6,0,0,0,0,0,12,43.0
Usman Qadir,3,5,66,66,0,2,0,0,0,0,125,6.0,0,0,0,0,0,0,0,42.333333333333336
O Thomas,3,5,85,60,0,1,0,0,0,0,125,8.5,0,0,0,0,0,0,0,42.0
Naseem Shah,3,5,105,72,0,1,0,0,0,0,125,8.75,0,0,0,0,0,0,0,42.0
KOK Williams,5,8,144,102,0,1,8,0,0,0,200,8.470588235294118,0,0,0,0,0,0,0,41.8
T Thushara,3,5,105,66,0,0,0,0,0,0,125,9.545454545454545,0,0,0,0,0,0,0,41.666666666666664
Anwar Ali,3,5,94,72,0,0,0,0,0,0,125,7.833333333333334,0,0,0,0,0,0,0,41.666666666666664
FG Kemp,3,5,64,54,0,0,0,0,0,0,125,7.111111111111111,0,0,0,0,0,0,0,41.666666666666664
OC McCoy,7,11,207,162,3,1,4,8,0,0,275,7.666666666666666,0,0,0,0,0,0,0,41.57142857142857
Haris Rauf,10,16,355,229,0,5,8,0,0,0,400,9.301310043668122,0,0,0,0,0,0,0,41.3
S Randiv,2,3,45,42,0,1,4,0,0,0,75,6.428571428571429,0,0,2,0,0,0,0,41.0
GF Linde,5,8,121,108,2,0,0,0,0,0,200,6.722222222222223,0,0,2,0,0,0,0,40.8
MA Starc,10,15,346,229,2,5,4,8,0,1,375,9.065502183406114,0,0,0,0,0,0,12,40.6
TM McGrath,2,3,50,36,0,2,4,0,0,0,75,8.333333333333332,0,0,0,0,0,0,0,40.5
HMCM Bandara,2,3,51,36,0,2,4,0,0,0,75,8.5,0,0,0,0,0,0,0,40.5
HK Bennett,5,8,197,105,0,0,4,0,0,0,200,11.257142857142856,0,0,0,0,-4,0,0,40.0
HMRKB Herath,1,1,27,24,1,0,0,0,0,1,25,6.75,0,0,2,0,0,0,12,40.0
AS Joseph,2,3,60,48,0,1,4,0,0,0,75,7.5,0,0,0,0,0,0,0,40.0
Fatima Sana,2,3,50,42,0,0,4,0,0,0,75,7.142857142857142,0,0,0,0,0,0,0,39.5
SR Clark,2,3,60,48,0,0,4,0,0,0,75,7.5,0,0,0,0,0,0,0,39.5
MC Henriques,2,3,60,48,0,0,4,0,0,0,75,7.5,0,0,0,0,0,0,0,39.5
N de Klerk,5,7,144,102,0,2,8,0,0,1,175,8.470588235294118,0,0,0,0,0,0,12,39.4
SW Tait,4,6,102,84,0,3,4,0,0,0,150,7.285714285714285,0,0,0,0,0,0,0,39.25
AJ Turner,2,3,27,24,1,0,0,0,0,0,75,6.75,0,0,2,0,0,0,0,39.0
AC Agar,2,3,55,48,1,0,0,0,0,0,75,6.875,0,0,2,0,0,0,0,39.0
NE Farrant,2,3,42,39,0,1,0,0,0,0,75,6.461538461538462,0,0,2,0,0,0,0,39.0
L Ngidi,8,12,245,164,1,1,8,0,0,0,300,8.963414634146341,0,0,0,0,0,0,0,38.75
