striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
Imran Nazir,6,206,133,6,25,9,12,16,0,154.88721804511277,206,25,18,-12,0,4,0,0,0,0,44.833333333333336
JP Duminy,13,461,304,13,31,21,36,24,0,151.64473684210526,461,31,42,-26,0,4,0,0,0,0,44.0
MJ Lumb,5,167,121,5,22,5,12,16,0,138.01652892561984,167,22,10,-10,0,0,2,0,0,0,43.8
DP Conway,5,179,138,5,21,3,12,8,0,129.71014492753622,179,21,6,-10,0,0,0,0,0,0,43.2
Fargana Hoque,1,37,37,1,4,0,4,0,0,100.0,37,4,0,-2,0,0,0,0,0,0,43.0
V Kohli,19,675,473,19,68,13,36,48,0,142.7061310782241,675,68,26,-38,0,0,2,0,0,0,43.0
UT Khawaja,1,33,25,1,4,1,4,0,0,132.0,33,4,2,-2,0,0,2,0,0,0,43.0
BR Dunk,1,32,14,1,3,3,4,0,0,228.57142857142856,32,3,6,-2,6,0,0,0,0,-6,43.0
MC Henriques,3,103,67,3,3,4,8,8,0,153.73134328358208,103,3,8,-6,0,4,0,0,0,0,42.666666666666664
Mohammad Hafeez,15,521,411,15,48,20,28,32,0,126.7639902676399,521,48,40,-30,0,0,0,0,0,0,42.6
RD Gaikwad,2,62,42,2,8,2,4,8,0,147.61904761904762,62,8,4,-4,0,0,2,0,0,0,42.0
PD Salt,3,99,51,3,15,3,4,8,0,194.11764705882354,99,15,6,-6,6,0,0,0,0,-6,42.0
SR Patel,3,101,74,3,12,2,4,8,0,136.48648648648648,101,12,4,-6,0,0,2,0,0,0,41.666666666666664
R Dravid,1,31,21,1,0,3,4,0,0,147.61904761904762,31,0,6,-2,0,0,2,0,0,0,41.0
CD McMillan,2,59,36,2,3,4,4,8,0,163.88888888888889,59,3,8,-4,0,4,0,0,0,0,41.0
F du Plessis,11,364,281,11,37,10,20,32,0,129.5373665480427,364,37,20,-22,0,0,0,0,0,0,41.0
HM Amla,11,376,287,11,38,8,20,16,0,131.01045296167246,376,38,16,-22,0,0,2,0,0,0,40.54545454545455
LA Marsh,2,64,45,2,15,0,4,0,0,142.22222222222223,64,15,0,-4,0,0,2,0,0,0,40.5
PBB Rajapaksa,8,255,161,8,18,14,16,16,0,158.38509316770185,255,18,28,-16,0,4,0,0,0,0,40.125
DJ Hussey,7,225,149,7,13,13,16,8,0,151.00671140939596,225,13,26,-14,0,4,0,0,0,0,39.714285714285715
RG Sharma,28,887,623,28,72,41,48,72,0,142.3756019261637,887,72,82,-56,0,0,2,0,0,0,39.535714285714285
DJM Short,2,67,67,2,8,0,8,0,0,100.0,67,8,0,-4,0,0,0,0,0,0,39.5
Salman Butt,4,128,100,4,17,2,8,8,0,128.0,128,17,4,-8,0,0,0,0,0,0,39.25
E Lewis,9,267,185,9,23,18,16,24,0,144.32432432432432,267,23,36,-18,0,0,2,0,0,0,38.888888888888886
DAS Gunaratne,5,151,94,5,15,5,8,16,0,160.63829787234042,151,15,10,-10,0,4,0,0,0,0,38.8
AK Markram,5,164,124,5,7,7,8,8,0,132.25806451612902,164,7,14,-10,0,0,2,0,0,0,38.6
P Nissanka,7,223,178,7,18,6,12,16,0,125.2808988764045,223,18,12,-14,0,0,0,0,0,0,38.142857142857146
S Dhawan,11,347,251,11,33,13,24,8,0,138.24701195219126,347,33,26,-22,0,0,2,0,0,0,38.0
MN van Wyk,3,87,59,3,7,6,4,8,0,147.45762711864407,87,7,12,-6,0,0,2,0,0,0,38.0
OA Shah,3,94,66,3,8,2,4,8,0,142.42424242424244,94,8,4,-6,0,0,2,0,0,0,38.0
A Gardner,5,158,109,5,16,6,4,8,0,144.95412844036696,158,16,12,-10,0,0,2,0,0,0,38.0
MR Marsh,5,154,103,5,13,7,8,8,0,149.51456310679612,154,13,14,-10,0,0,2,0,0,0,37.8
JM Vince,6,183,133,6,18,5,16,8,0,137.593984962406,183,18,10,-12,0,0,2,0,0,0,37.5
A Capsey,3,88,62,3,14,1,4,8,0,141.93548387096774,88,14,2,-6,0,0,2,0,0,0,37.333333333333336
D van Niekerk,6,185,147,6,25,3,12,8,0,125.85034013605443,185,25,6,-12,0,0,0,0,0,0,37.333333333333336
Nasir Jamshed,4,121,91,4,9,6,4,8,0,132.96703296703296,121,9,12,-8,0,0,2,0,0,0,37.0
KP Pietersen,7,211,140,7,27,3,16,8,0,150.71428571428572,211,27,6,-14,0,4,0,0,0,0,36.857142857142854
R Shepherd,3,85,52,3,3,8,8,0,0,163.46153846153845,85,3,16,-6,0,4,0,0,0,0,36.666666666666664
MJ Guptill,31,915,673,31,97,37,48,40,16,135.9583952451709,915,97,74,-62,0,0,2,0,0,0,36.45161290322581
Q de Kock,16,477,360,16,47,16,28,24,0,132.5,477,47,32,-32,0,0,2,0,0,0,36.125
KL Rahul,13,384,296,13,38,11,24,24,0,129.72972972972974,384,38,22,-26,0,0,0,0,0,0,35.84615384615385
AE Jones,10,295,214,10,35,6,24,8,0,137.85046728971963,295,35,12,-20,0,0,2,0,0,0,35.6
ST Jayasuriya,8,221,158,8,25,10,16,16,0,139.873417721519,221,25,20,-16,0,0,2,0,0,0,35.5
Rahmanullah Gurbaz,3,84,47,3,4,6,4,8,0,178.72340425531914,84,4,12,-6,6,0,0,0,0,-6,35.333333333333336
RS Bopara,8,239,194,8,19,4,16,16,0,123.1958762886598,239,19,8,-16,0,0,0,0,0,0,35.25
KJ Martin,5,138,104,5,18,2,8,16,0,132.69230769230768,138,18,4,-10,0,0,2,0,0,0,35.2
HASD Siriwardene,1,29,21,1,5,0,0,0,0,138.0952380952381,29,5,0,-2,0,0,2,0,0,0,34.0
CN Nation,3,88,74,3,8,2,8,0,0,118.91891891891892,88,8,4,-6,0,0,0,0,0,0,34.0
S Luus,9,256,199,9,28,5,12,16,0,128.643216080402,256,28,10,-18,0,0,0,0,0,0,33.77777777777778
SK Raina,18,502,360,18,45,21,36,16,0,139.44444444444443,502,45,42,-36,0,0,2,0,0,0,33.72222222222222
Asghar Stanikzai,3,90,82,3,5,4,4,0,0,109.75609756097562,90,5,8,-6,0,0,0,0,0,0,33.666666666666664
JL Ontong,2,54,35,2,2,3,4,0,0,154.2857142857143,54,2,6,-4,0,4,0,0,0,0,33.0
BB McCullum,17,469,358,17,41,21,24,16,0,131.0055865921788,469,41,42,-34,0,0,2,0,0,0,32.94117647058823
RR Rossouw,4,112,90,4,11,2,4,8,0,124.44444444444444,112,11,4,-8,0,0,0,0,0,0,32.75
C de Grandhomme,8,209,156,8,13,12,12,16,0,133.97435897435898,209,13,24,-16,0,0,2,0,0,0,32.5
MP Stoinis,7,198,129,7,20,5,8,0,0,153.48837209302326,198,20,10,-14,0,4,0,0,0,0,32.285714285714285
AM Rahane,4,104,78,4,10,2,8,8,0,133.33333333333331,104,10,4,-8,0,0,2,0,0,0,32.0
Misbah-ul-Haq,3,79,54,3,7,1,4,8,0,146.2962962962963,79,7,2,-6,0,0,2,0,0,0,32.0
SR Taylor,5,131,111,5,12,5,8,8,0,118.01801801801801,131,12,10,-10,0,0,0,0,0,0,31.8
AB de Villiers,16,429,299,16,37,16,24,16,0,143.47826086956522,429,37,32,-32,0,0,2,0,0,0,31.75
G Gambhir,10,273,242,10,29,1,16,16,0,112.8099173553719,273,29,2,-20,0,0,0,0,0,0,31.6
JE Root,6,169,147,6,18,3,8,0,0,114.96598639455782,169,18,6,-12,0,0,0,0,0,0,31.5
RS Morton,2,58,57,2,3,1,4,0,0,101.75438596491229,58,3,2,-4,0,0,0,0,0,0,31.5
CH Morris,3,71,43,3,7,3,4,8,0,165.11627906976744,71,7,6,-6,0,4,0,0,0,0,31.333333333333332
Anamul Haque,3,78,63,3,10,0,4,8,0,123.80952380952381,78,10,0,-6,0,0,0,0,0,0,31.333333333333332
JI Rodrigues,8,215,171,8,25,3,20,0,0,125.73099415204678,215,25,6,-16,0,0,0,0,0,0,31.25
HC Knight,9,242,179,9,23,6,12,8,0,135.19553072625698,242,23,12,-18,0,0,2,0,0,0,31.22222222222222
JJ Roy,13,333,250,13,34,12,20,16,0,133.20000000000002,333,34,24,-26,0,0,2,0,0,0,31.0
LC Sthalekar,1,28,21,1,3,0,0,0,0,133.33333333333331,28,3,0,-2,0,0,2,0,0,0,31.0
LRPL Taylor,22,591,462,22,39,22,28,24,0,127.92207792207793,591,39,44,-44,0,0,0,0,0,0,31.0
N Dickwella,10,263,205,10,31,5,16,8,0,128.29268292682926,263,31,10,-20,0,0,0,0,0,0,30.8
CM Edwards,3,82,80,3,8,2,4,0,0,102.49999999999999,82,8,4,-6,0,0,0,0,0,0,30.666666666666668
EJG Morgan,26,654,434,26,54,34,36,32,0,150.69124423963135,654,54,68,-52,0,4,0,0,0,0,30.615384615384617
Shakib Al Hasan,16,407,300,16,45,9,20,24,0,135.66666666666666,407,45,18,-32,0,0,2,0,0,0,30.25
Fareed Ahmad,1,24,15,1,4,0,0,0,0,160.0,24,4,0,-2,0,4,0,0,0,0,30.0
Umar Akmal,15,369,242,15,31,16,20,24,0,152.4793388429752,369,31,32,-30,0,4,0,0,0,0,30.0
AJ Strauss,2,51,37,2,7,0,4,0,0,137.83783783783784,51,7,0,-4,0,0,2,0,0,0,30.0
NR Sciver,11,280,215,11,30,2,20,16,0,130.2325581395349,280,30,4,-22,0,0,2,0,0,0,30.0
CK Kapugedera,12,300,216,12,21,13,24,8,0,138.88888888888889,300,21,26,-24,0,0,2,0,0,0,29.75
DPMD Jayawardene,12,296,210,12,31,10,24,8,0,140.95238095238096,296,31,20,-24,0,0,2,0,0,0,29.75
JN Malan,3,73,52,3,11,2,4,0,0,140.3846153846154,73,11,4,-6,0,0,2,0,0,0,29.333333333333332
Shafiqullah,1,24,8,1,1,3,0,0,0,300.0,24,1,6,-2,6,0,0,0,0,-6,29.0
EMDY Munaweera,5,112,69,5,13,5,8,8,0,162.31884057971016,112,13,10,-10,0,4,0,0,0,0,29.0
MS Chapman,4,97,80,4,9,3,4,8,0,121.24999999999999,97,9,6,-8,0,0,0,0,0,0,29.0
TM Dilshan,15,359,277,15,37,8,20,32,0,129.6028880866426,359,37,16,-30,0,0,0,0,0,0,28.933333333333334
Mohammad Nabi,4,92,69,4,3,7,4,8,0,133.33333333333331,92,3,14,-8,0,0,2,0,0,0,28.75
Nida Dar,5,118,87,5,13,4,4,8,0,135.63218390804596,118,13,8,-10,0,0,2,0,0,0,28.6
M Mosehle,2,47,27,2,2,4,4,0,0,174.07407407407408,47,2,8,-4,6,0,0,0,0,-6,28.5
