striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
WD Parnell,1,2,2,1,0,0,0,0,0,100.0,2,0,0,-2,0,0,0,0,0,0,0.0
RS Gavaskar,1,2,8,1,0,0,0,0,0,25.0,2,0,0,-2,0,0,0,0,0,0,0.0
S Narwal,1,2,2,1,0,0,0,0,0,100.0,2,0,0,-2,0,0,0,0,0,0,0.0
BB Sran,1,2,2,1,0,0,0,0,0,100.0,2,0,0,-2,0,0,0,0,0,0,0.0
S Randiv,1,2,4,1,0,0,0,0,0,50.0,2,0,0,-2,0,0,0,0,0,0,0.0
Niraj Patel,1,2,11,1,0,0,0,0,0,18.181818181818183,2,0,0,-2,0,0,0,0,0,0,0.0
JPR Scantlebury-Searles,1,2,5,1,0,0,0,0,0,40.0,2,0,0,-2,0,0,0,0,0,0,0.0
BB Samantray,1,2,2,1,0,0,0,0,0,100.0,2,0,0,-2,0,0,0,0,0,0,0.0
Mukesh Choudhary,1,2,2,1,0,0,0,0,0,100.0,2,0,0,-2,0,0,0,0,0,0,0.0
I Sharma,5,9,20,5,0,0,0,0,0,45.0,9,0,0,-10,0,0,0,0,0,0,-0.2
RP Singh,9,18,27,9,0,0,0,0,0,66.66666666666666,18,0,0,-18,0,0,0,-2,0,0,-0.2222222222222222
GC Smith,2,3,8,2,0,0,0,0,0,37.5,3,0,0,-4,0,0,0,0,0,0,-0.5
T Thushara,2,3,5,2,0,0,0,0,0,60.0,3,0,0,-4,0,0,0,0,0,0,-0.5
T Natarajan,2,3,5,2,0,0,0,0,0,60.0,3,0,0,-4,0,0,0,0,0,0,-0.5
GC Viljoen,2,3,6,2,0,0,0,0,0,50.0,3,0,0,-4,0,0,0,0,0,0,-0.5
R Rampaul,2,3,8,2,0,0,0,0,0,37.5,3,0,0,-4,0,0,0,0,0,0,-0.5
YV Dhull,2,3,8,2,0,0,0,0,0,37.5,3,0,0,-4,0,0,0,0,0,0,-0.5
Iqbal Abdulla,2,7,13,2,0,0,0,0,0,53.84615384615385,7,0,0,-4,0,0,0,0,-4,0,-0.5
A Zampa,2,3,7,2,0,0,0,0,0,42.857142857142854,3,0,0,-4,0,0,0,0,0,0,-0.5
