bowler,innings,wickets,runs,balls,lbw,bowled,3_w_b,4_w_b,5_w_b,maiden_overs,wicket_point,eco,eco<5,eco(5-5.99),eco(6-7),eco(10-11),eco(11.01-12),eco>12,maiden_point,POINTS
Ankit Soni,2,0,53,30,0,0,0,0,0,0,0,10.6,0,0,0,-2,0,0,0,-1.0
Nithish Kumar Reddy,2,0,54,30,0,0,0,0,0,0,0,10.8,0,0,0,-2,0,0,0,-1.0
Rasikh Salam,2,0,52,30,0,0,0,0,0,0,0,10.4,0,0,0,-2,0,0,0,-1.0
S Kaushik,4,0,158,78,0,0,0,0,0,0,0,12.153846153846153,0,0,0,0,0,-6,0,-1.5
YA Abdulla,3,0,98,47,0,0,0,0,0,0,0,12.51063829787234,0,0,0,0,0,-6,0,-2.0
DJ Harris,1,0,11,6,0,0,0,0,0,0,0,11.0,0,0,0,-2,0,0,0,-2.0
SB Joshi,2,0,45,24,0,0,0,0,0,0,0,11.25,0,0,0,0,-4,0,0,-2.0
MB Parmar,1,0,33,18,0,0,0,0,0,0,0,11.0,0,0,0,-2,0,0,0,-2.0
VS Yeligati,2,0,59,30,0,0,0,0,0,0,0,11.799999999999999,0,0,0,0,-4,0,0,-2.0
CK Kapugedera,2,0,23,12,0,0,0,0,0,0,0,11.5,0,0,0,0,-4,0,0,-2.0
M Ntini,1,0,43,24,0,0,0,0,0,0,0,10.75,0,0,0,-2,0,0,0,-2.0
Shoaib Malik,2,0,36,18,0,0,0,0,0,0,0,12.0,0,0,0,0,-4,0,0,-2.0
JDP Oram,2,0,90,48,0,0,0,0,0,0,0,11.25,0,0,0,0,-4,0,0,-2.0
Kamran Khan,2,0,57,24,0,0,0,0,0,0,0,14.25,0,0,0,0,0,-6,0,-3.0
CL White,2,0,43,12,0,0,0,0,0,0,0,21.5,0,0,0,0,0,-6,0,-3.0
Y Nagar,2,0,26,12,0,0,0,0,0,0,0,13.0,0,0,0,0,0,-6,0,-3.0
Abdul Samad,2,0,55,18,0,0,0,0,0,0,0,18.333333333333332,0,0,0,0,0,-6,0,-3.0
Mandeep Singh,2,0,26,12,0,0,0,0,0,0,0,13.0,0,0,0,0,0,-6,0,-3.0
Vivrant Sharma,2,0,37,18,0,0,0,0,0,0,0,12.333333333333332,0,0,0,0,0,-6,0,-3.0
MK Tiwary,2,0,39,18,0,0,0,0,0,0,0,13.0,0,0,0,0,0,-6,0,-3.0
A Dananjaya,1,0,47,24,0,0,0,0,0,0,0,11.75,0,0,0,0,-4,0,0,-4.0
P Sahu,1,0,35,18,0,0,0,0,0,0,0,11.666666666666666,0,0,0,0,-4,0,0,-4.0
RS Hangargekar,1,0,24,12,0,0,0,0,0,0,0,12.0,0,0,0,0,-4,0,0,-4.0
KAJ Roach,1,0,48,24,0,0,0,0,0,0,0,12.0,0,0,0,0,-4,0,0,-4.0
CJ Dala,1,0,34,18,0,0,0,0,0,0,0,11.333333333333332,0,0,0,0,-4,0,0,-4.0
R Sanjay Yadav,1,0,23,12,0,0,0,0,0,0,0,11.5,0,0,0,0,-4,0,0,-4.0
KS Williamson,1,0,24,12,0,0,0,0,0,0,0,12.0,0,0,0,0,-4,0,0,-4.0
RA Tripathi,1,0,12,6,0,0,0,0,0,0,0,12.0,0,0,0,0,-4,0,0,-4.0
