striker,innings,runs,balls,dismissals,fours,sixes,30s_point,50s_point,100s_point,sr,run_points,boundary_bonus,six_bonus,duck_bonus,sr>170,sr(150-170),sr(130-150),sr(60-70),sr(50-59.99),sr<50,POINTS
Shahid Afridi,16,297,178,16,20,19,12,0,0,166.85393258426967,297,20,38,-32,0,4,0,0,0,0,21.1875
AD Mathews,10,180,110,10,8,13,12,0,0,163.63636363636365,180,8,26,-20,0,4,0,0,0,0,21.0
S Sreesanth,1,19,10,1,4,0,0,0,0,190.0,19,4,0,-2,6,0,0,0,0,-6,21.0
RE Levi,1,19,7,1,4,0,0,0,0,271.42857142857144,19,4,0,-2,6,0,0,0,0,-6,21.0
SP Fleming,1,18,13,1,3,0,0,0,0,138.46153846153845,18,3,0,-2,0,0,2,0,0,0,21.0
Naeem Islam,1,18,10,1,3,1,0,0,0,180.0,18,3,2,-2,6,0,0,0,0,-6,21.0
Alok Kapali,1,19,11,1,2,1,0,0,0,172.72727272727272,19,2,2,-2,6,0,0,0,0,-6,21.0
MS Wade,20,367,251,20,37,13,12,16,0,146.21513944223108,367,37,26,-40,0,0,2,0,0,0,21.0
MP Stoinis,11,195,129,11,15,10,8,8,0,151.1627906976744,195,15,20,-22,0,4,0,0,0,0,20.727272727272727
DJ Bravo,15,279,228,15,17,12,12,8,0,122.36842105263158,279,17,24,-30,0,0,0,0,0,0,20.666666666666668
Mominul Haque,2,35,22,2,2,2,0,0,0,159.0909090909091,35,2,4,-4,0,4,0,0,0,0,20.5
Asmavia Iqbal,2,36,29,2,3,1,4,0,0,124.13793103448276,36,3,2,-4,0,0,0,0,0,0,20.5
BA Stokes,14,253,169,14,24,11,8,0,0,149.70414201183434,253,24,22,-28,0,0,2,0,0,0,20.071428571428573
Mohammad Shahzad,3,45,28,3,3,5,4,0,0,160.71428571428572,45,3,10,-6,0,4,0,0,0,0,20.0
UT Yadav,1,20,17,1,2,0,0,0,0,117.64705882352942,20,2,0,-2,0,0,0,0,0,0,20.0
LD Chandimal,12,212,172,12,21,5,12,8,0,123.25581395348837,212,21,10,-24,0,0,0,0,0,0,19.916666666666668
GB Hogg,3,51,35,3,2,3,4,0,0,145.7142857142857,51,2,6,-6,0,0,2,0,0,0,19.666666666666668
PD McGlashan,2,33,23,2,4,2,0,0,0,143.47826086956522,33,4,4,-4,0,0,2,0,0,0,19.5
SW Billings,11,189,130,11,17,8,4,8,0,145.3846153846154,189,17,16,-22,0,0,2,0,0,0,19.454545454545453
Bismah Maroof,3,56,61,3,8,0,0,0,0,91.80327868852459,56,8,0,-6,0,0,0,0,0,0,19.333333333333332
AK Perera,1,15,10,1,2,1,0,0,0,150.0,15,2,2,-2,0,0,2,0,0,0,19.0
Aliya Riaz,2,35,46,2,3,2,0,0,0,76.08695652173914,35,3,4,-4,0,0,0,0,0,0,19.0
PSP Handscomb,1,20,18,1,1,0,0,0,0,111.11111111111111,20,1,0,-2,0,0,0,0,0,0,19.0
SD Hope,9,154,126,9,20,3,8,0,0,122.22222222222223,154,20,6,-18,0,0,0,0,0,0,18.88888888888889
Mehedi Hasan Miraz,5,84,64,5,4,5,4,0,0,131.25,84,4,10,-10,0,0,2,0,0,0,18.8
CA Lynn,5,83,61,5,4,5,4,0,0,136.0655737704918,83,4,10,-10,0,0,2,0,0,0,18.6
